Time,AC POWER-3 (W),AC POWER-2 (W),AC POWER-1 (W)
31/12/2020 13:15:00,1801.0,1818.0,1805.0
31/12/2020 13:30:00,3546.0,3613.0,3533.0
31/12/2020 13:45:00,4065.0,4134.0,4071.0
31/12/2020 14:00:00,2813.0,2792.0,2762.0
31/12/2020 14:15:00,2961.0,2987.0,2945.0
31/12/2020 14:30:00,1060.0,1060.0,1049.0
31/12/2020 14:45:00,2259.0,2253.0,2219.0
31/12/2020 15:00:00,2419.0,2430.0,2388.0
31/12/2020 15:15:00,2685.0,2699.0,2650.0
31/12/2020 15:30:00,1252.0,1252.0,1244.0
31/12/2020 15:45:00,1012.0,1004.0,1000.0
31/12/2020 16:00:00,719.0,710.0,716.0
31/12/2020 16:15:00,738.0,731.0,739.0
31/12/2020 16:30:00,563.0,553.0,547.0
31/12/2020 16:45:00,384.0,366.0,370.0
31/12/2020 17:00:00,429.0,410.0,417.0
31/12/2020 17:15:00,149.0,128.0,128.0
31/12/2020 17:30:00,0.0,0.0,0.0
31/12/2020 17:45:00,0.0,0.0,0.0
31/12/2020 18:00:00,0.0,0.0,0.0
31/12/2020 18:15:00,0.0,0.0,0.0
31/12/2020 18:30:00,0.0,0.0,0.0
31/12/2020 18:45:00,0.0,0.0,0.0
31/12/2020 19:00:00,0.0,0.0,0.0
31/12/2020 19:15:00,0.0,0.0,0.0
31/12/2020 19:30:00,0.0,0.0,0.0
31/12/2020 19:45:00,0.0,0.0,0.0
31/12/2020 20:00:00,0.0,0.0,0.0
31/12/2020 20:15:00,0.0,0.0,0.0
31/12/2020 20:30:00,0.0,0.0,0.0
31/12/2020 20:45:00,0.0,0.0,0.0
31/12/2020 21:00:00,0.0,0.0,0.0
31/12/2020 21:15:00,0.0,0.0,0.0
31/12/2020 21:30:00,0.0,0.0,0.0
31/12/2020 21:45:00,0.0,0.0,0.0
31/12/2020 22:00:00,0.0,0.0,0.0
31/12/2020 22:15:00,0.0,0.0,0.0
31/12/2020 22:30:00,0.0,0.0,0.0
31/12/2020 22:45:00,0.0,0.0,0.0
31/12/2020 23:00:00,0.0,0.0,0.0
31/12/2020 23:15:00,0.0,0.0,0.0
31/12/2020 23:30:00,0.0,0.0,0.0
31/12/2020 23:45:00,0.0,0.0,0.0
01/01/2021 00:00:00,0.0,0.0,0.0
01/01/2021 00:15:00,0.0,0.0,0.0
01/01/2021 00:30:00,0.0,0.0,0.0
01/01/2021 00:45:00,0.0,0.0,0.0
01/01/2021 01:00:00,0.0,0.0,0.0
01/01/2021 01:15:00,0.0,0.0,0.0
01/01/2021 01:30:00,0.0,0.0,0.0
01/01/2021 01:45:00,0.0,0.0,0.0
01/01/2021 02:00:00,0.0,0.0,0.0
01/01/2021 02:15:00,0.0,0.0,0.0
01/01/2021 02:30:00,0.0,0.0,0.0
01/01/2021 02:45:00,0.0,0.0,0.0
01/01/2021 03:00:00,0.0,0.0,0.0
01/01/2021 03:15:00,0.0,0.0,0.0
01/01/2021 03:30:00,0.0,0.0,0.0
01/01/2021 03:45:00,0.0,0.0,0.0
01/01/2021 04:00:00,0.0,0.0,0.0
01/01/2021 04:15:00,0.0,0.0,0.0
01/01/2021 04:30:00,0.0,0.0,0.0
01/01/2021 04:45:00,0.0,0.0,0.0
01/01/2021 05:00:00,0.0,0.0,0.0
01/01/2021 05:15:00,0.0,0.0,0.0
01/01/2021 05:30:00,0.0,0.0,0.0
01/01/2021 05:45:00,0.0,0.0,0.0
01/01/2021 06:00:00,0.0,0.0,0.0
01/01/2021 06:15:00,0.0,0.0,0.0
01/01/2021 06:30:00,0.0,0.0,0.0
01/01/2021 06:45:00,0.0,0.0,0.0
01/01/2021 07:00:00,0.0,0.0,0.0
01/01/2021 07:15:00,0.0,0.0,0.0
01/01/2021 07:30:00,61.0,41.0,43.0
01/01/2021 07:45:00,192.0,174.0,180.0
01/01/2021 08:00:00,384.0,373.0,381.0
01/01/2021 08:15:00,592.0,581.0,591.0
01/01/2021 08:30:00,810.0,800.0,812.0
01/01/2021 08:45:00,1038.0,1039.0,1044.0
01/01/2021 09:00:00,1338.0,1339.0,1341.0
01/01/2021 09:15:00,1680.0,1683.0,1670.0
01/01/2021 09:30:00,2321.0,2333.0,2300.0
01/01/2021 09:45:00,2868.0,2883.0,2823.0
01/01/2021 10:00:00,3001.0,3059.0,2981.0
01/01/2021 10:15:00,3363.0,3415.0,3358.0
01/01/2021 10:30:00,3684.0,3704.0,3637.0
01/01/2021 10:45:00,3881.0,3940.0,3865.0
01/01/2021 11:00:00,4340.0,4392.0,4328.0
01/01/2021 11:15:00,4524.0,4573.0,4477.0
01/01/2021 11:30:00,3986.0,4048.0,3955.0
01/01/2021 11:45:00,4238.0,4267.0,4168.0
01/01/2021 12:00:00,4002.0,4023.0,3952.0
01/01/2021 12:15:00,3896.0,3909.0,3820.0
01/01/2021 12:30:00,3670.0,3655.0,3593.0
01/01/2021 12:45:00,2682.0,2659.0,2633.0
01/01/2021 13:00:00,2435.0,2418.0,2396.0
01/01/2021 13:15:00,1850.0,1859.0,1836.0
01/01/2021 13:30:00,1760.0,1764.0,1748.0
01/01/2021 13:45:00,1862.0,1851.0,1830.0
01/01/2021 14:00:00,1640.0,1619.0,1598.0
01/01/2021 14:15:00,1632.0,1621.0,1589.0
01/01/2021 14:30:00,1575.0,1562.0,1519.0
01/01/2021 14:45:00,1483.0,1462.0,1431.0
01/01/2021 15:00:00,1333.0,1328.0,1309.0
01/01/2021 15:15:00,1199.0,1195.0,1177.0
01/01/2021 15:30:00,1034.0,1022.0,1013.0
01/01/2021 15:45:00,896.0,890.0,881.0
01/01/2021 16:00:00,762.0,745.0,753.0
01/01/2021 16:15:00,673.0,667.0,668.0
01/01/2021 16:30:00,518.0,500.0,509.0
01/01/2021 16:45:00,348.0,328.0,344.0
