YEAR,MO,DY,HR,Avg Power,Irradiance(Ideal),Temperature,Precipitation,Wind Speed,Wind Direction,Specific Humidity,Wind Speed(50M),Wind Direction(50M),Surface Pressure,Relative Humidity,PM2.5,PM10,WS,WD
2020,12,31,13,12616.0,361.82,20.77,0.0,2.45,325.65,2.26,2.66,327.34,99.02,14.75,96.66,257.5,0.79,261.58
2020,12,31,14,9053.32,292.41,20.51,0.0,2.43,324.93,2.2,2.67,326.36,98.97,14.44,112.95,248.04,0.79,260.31
2020,12,31,15,7345.0,164.33,19.26,0.0,2.13,326.84,2.2,2.82,327.24,98.92,15.75,117.5,262.0,0.58,268.98
2020,12,31,16,2378.68,40.36,14.96,0.0,2.12,325.08,2.38,3.39,324.77,98.92,22.19,109.63,267.45,0.67,243.31
2020,12,31,17,0.0,0.0,12.08,0.0,2.57,323.79,2.32,3.99,323.6,98.95,25.94,112.92,294.18,0.37,213.94
2020,12,31,18,0.0,0.0,10.73,0.0,2.71,323.92,2.38,4.32,323.75,99.01,29.25,126.78,292.47,0.13,194.1
2020,12,31,19,0.0,0.0,9.67,0.0,2.7,322.87,2.44,4.34,322.76,99.05,32.38,133.01,323.76,0.16,149.49
2020,12,31,20,0.0,0.0,9.14,0.0,2.6,321.58,2.5,4.14,321.21,99.08,34.38,143.28,325.46,0.1,171.34
2020,12,31,21,0.0,0.0,8.93,0.0,2.47,318.2,2.56,3.9,317.84,99.07,35.38,142.65,357.25,0.1,171.12
2020,12,31,22,0.0,0.0,8.76,0.0,2.4,313.81,2.56,3.79,313.5,99.05,36.06,160.03,359.29,0.12,168.81
2020,12,31,23,0.0,0.0,8.4,0.0,2.4,313.42,2.56,3.79,313.0,99.01,37.12,191.89,370.6,0.09,179.55
2021,1,1,0,0.0,0.0,7.76,0.0,2.38,318.19,2.56,3.68,317.67,99.0,38.88,167.7,346.11,0.1,155.27
2021,1,1,1,0.0,0.0,7.48,0.0,2.36,324.57,2.62,3.67,324.28,98.98,39.81,157.47,338.66,0.11,162.86
2021,1,1,2,0.0,0.0,6.7,0.0,2.4,333.35,2.62,3.71,333.06,98.97,42.19,148.81,326.39,0.14,164.94
2021,1,1,3,0.0,0.0,6.01,0.0,2.38,343.23,2.62,3.65,343.19,98.96,44.56,159.09,358.44,0.11,154.65
2021,1,1,4,0.0,0.0,5.69,0.0,2.23,351.33,2.62,3.36,351.17,98.98,45.94,173.9,354.44,0.11,152.74
2021,1,1,5,0.0,0.0,5.5,0.0,2.08,356.99,2.69,3.09,356.81,99.01,47.06,148.21,348.81,0.1,184.01
2021,1,1,6,0.0,0.0,5.85,0.0,1.63,2.47,2.69,2.34,2.3,99.07,46.44,151.99,324.44,0.12,177.0
2021,1,1,7,230.32,47.24,7.4,0.0,0.92,7.79,2.75,1.3,7.25,99.14,42.0,138.76,342.13,0.11,183.28
