Time,Expected Kwh (KWH),Actual Kwh (KWH),,,Actual fixed,,
21/01/2021 00:00:00,,108,,,108,,
22/01/2021 00:00:00,,88,,,88,,
23/01/2021 00:00:00,,85,,,85,,
24/01/2021 00:00:00,,22,,,22,,
25/01/2021 00:00:00,,70,,,70,,
26/01/2021 00:00:00,,95,,,95,,
27/01/2021 00:00:00,,101,,,101,,
28/01/2021 00:00:00,,104,,,104,,
29/01/2021 00:00:00,,107,,,107,,
30/01/2021 00:00:00,,114,,,114,,
31/01/2021 00:00:00,,120,,,120,,
1/2/2021,,113,,,113,,
2/2/2021,,105,,,105,,
3/2/2021,,93,,,93,,
4/2/2021,,63,,,63,,
5/2/2021,,114,,,114,,
6/2/2021,,121,,,121,,
7/2/2021,,114,,,114,,
8/2/2021,,114,,,114,,
9/2/2021,,108,,,108,,
10/2/2021,,113,,,113,,
11/2/2021,,98,,,98,,
12/2/2021,,92,,,92,,
13/02/2021 00:00:00,,97,,,97,,
14/02/2021 00:00:00,,101,,,101,,
15/02/2021 00:00:00,,100,,,100,,
16/02/2021 00:00:00,,87,,,87,,
17/02/2021 00:00:00,,95,,,95,,
18/02/2021 00:00:00,,78,,,78,,
19/02/2021 00:00:00,,85,,,85,,
20/02/2021 00:00:00,,98,,,98,,
21/02/2021 00:00:00,,100,,,100,,
22/02/2021 00:00:00,,114,,,114,,
23/02/2021 00:00:00,,123,,,123,,
24/02/2021 00:00:00,,125,,,125,,
25/02/2021 00:00:00,,120,,,120,,
26/02/2021 00:00:00,,124,,,124,,
2/3/2021,,128,,,128,,
3/3/2021,,124,,,124,,
4/3/2021,,124,,,124,,
25/03/2021 00:00:00,,128,,,128,,
26/03/2021 00:00:00,,140,,,140,,
27/03/2021 00:00:00,,130,,,130,,
28/03/2021 00:00:00,,126,,,126,,
29/03/2021 00:00:00,,126,,,126,,
30/03/2021 00:00:00,,119,,,119,,
31/03/2021 00:00:00,,148,,,148,,
1/4/2021,108.86,148,,,148,,
2/4/2021,108.86,144,,,144,,
3/4/2021,108.86,137,,,137,,
4/4/2021,108.86,137,,,137,,
5/4/2021,108.86,114,,,114,,
6/4/2021,108.86,103,,,103,,
7/4/2021,108.86,121,,,121,,
8/4/2021,108.86,142,,,142,,
9/4/2021,108.86,142,,,142,,
10/4/2021,108.86,134,,,134,,
11/4/2021,108.86,131,,,131,,
12/4/2021,108.86,117,,,117,,
13/04/2021 00:00:00,108.86,125,,,125,,
14/04/2021 00:00:00,108.86,123,,,123,,
15/04/2021 00:00:00,108.86,115,,,115,,
16/04/2021 00:00:00,108.86,96,,,96,,
17/04/2021 00:00:00,108.86,141,,,141,,
18/04/2021 00:00:00,108.86,134,,,134,,
19/04/2021 00:00:00,108.86,134,,,134,,
20/04/2021 00:00:00,108.86,70,,,70,,
21/04/2021 00:00:00,108.86,136,,,136,,
22/04/2021 00:00:00,108.86,133,,,133,,
23/04/2021 00:00:00,108.86,108,,,108,,
24/04/2021 00:00:00,108.86,150,,,150,,
25/04/2021 00:00:00,108.86,146,,,146,,
